config,run,task,score
embed_dim128,0,4,-5.255464720726013
embed_dim128,0,50,-46.3836109161377
embed_dim128,0,100,-91.01428527832032
embed_dim128,1,4,-5.771025800704956
embed_dim128,1,50,-64.38912620544434
embed_dim128,1,100,-117.08105239868163
embed_dim128,2,4,-5.1244970798492435
embed_dim128,2,50,-214.59954223632812
embed_dim128,2,100,-240.8563491821289
embed_dim128,3,4,-5.218035316467285
embed_dim128,3,50,-45.67611999511719
embed_dim128,3,100,-54.131418991088864
embed_dim128,4,4,-5.425761413574219
embed_dim128,4,50,-87.4953483581543
embed_dim128,4,100,-113.80235061645507
embed_dim16,0,4,-5.903617811203003
embed_dim16,0,50,-20.745993041992186
embed_dim16,0,100,-71.29717750549317
embed_dim16,1,4,-5.421703433990478
embed_dim16,1,50,-25.54530773162842
embed_dim16,1,100,-228.27532348632812
embed_dim16,2,4,-5.786419200897217
embed_dim16,2,50,-82.80019454956054
embed_dim16,2,100,-247.38743743896484
embed_dim16,3,4,-6.005615901947022
embed_dim16,3,50,-46.9835807800293
embed_dim16,3,100,-39.23378448486328
embed_dim16,4,4,-5.3336855411529545
embed_dim16,4,50,-66.16405143737794
embed_dim16,4,100,-34.01031856536865
embed_dim32,0,4,-6.27898588180542
embed_dim32,0,50,-18.318135452270507
embed_dim32,0,100,-156.1527526855469
embed_dim32,1,4,-5.216152238845825
embed_dim32,1,50,-16.888754081726074
embed_dim32,1,100,-247.60262298583984
embed_dim32,2,4,-5.970360326766968
embed_dim32,2,50,-19.95468215942383
embed_dim32,2,100,-81.8333839416504
embed_dim32,3,4,-5.539935159683227
embed_dim32,3,50,-41.04193878173828
embed_dim32,3,100,-96.40431365966796
embed_dim32,4,4,-5.265945243835449
embed_dim32,4,50,-45.51359252929687
embed_dim32,4,100,-231.35204315185547
embed_dim4,0,4,-6.021543025970459
embed_dim4,0,50,-215.27935028076172
embed_dim4,0,100,-235.9690673828125
embed_dim4,1,4,-5.790001010894775
embed_dim4,1,50,-81.4596076965332
embed_dim4,1,100,-214.82177276611327
embed_dim4,2,4,-6.053205299377441
embed_dim4,2,50,-219.62437896728517
embed_dim4,2,100,-219.26929473876953
embed_dim4,3,4,-6.06942400932312
embed_dim4,3,50,-57.782266998291014
embed_dim4,3,100,-216.28829345703124
embed_dim4,4,4,-6.929557371139526
embed_dim4,4,50,-98.52855072021484
embed_dim4,4,100,-34.843863296508786
embed_dim64,0,4,-5.344423818588257
embed_dim64,0,50,-16.320122814178468
embed_dim64,0,100,-23.71690139770508
embed_dim64,1,4,-5.2418725967407225
embed_dim64,1,50,-15.500500965118409
embed_dim64,1,100,-226.7189727783203
embed_dim64,2,4,-5.375290632247925
embed_dim64,2,50,-15.702754878997803
embed_dim64,2,100,-70.56411819458008
embed_dim64,3,4,-5.782728624343872
embed_dim64,3,50,-62.63382186889648
embed_dim64,3,100,-122.86131439208984
embed_dim64,4,4,-5.4405680179595945
embed_dim64,4,50,-58.78611602783203
embed_dim64,4,100,-177.9965377807617
embed_dim8,0,4,-5.854664611816406
embed_dim8,0,50,-90.93701705932617
embed_dim8,0,100,-127.76206665039062
embed_dim8,1,4,-6.441772890090943
embed_dim8,1,50,-203.75389556884767
embed_dim8,1,100,-232.57538452148438
embed_dim8,2,4,-6.0897242546081545
embed_dim8,2,50,-145.9173141479492
embed_dim8,2,100,-95.53428573608399
embed_dim8,3,4,-5.950941896438598
embed_dim8,3,50,-22.807812881469726
embed_dim8,3,100,-222.3350845336914
embed_dim8,4,4,-5.754204988479614
embed_dim8,4,50,-25.553334045410157
embed_dim8,4,100,-53.30181732177734
